nQx	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
0	0.1271	0.1124		0.1029	0.0977	0.0857	0.0827		0.0783		0.0644		0.0587		0.0554		0.0555	0.0542	0.0549	0.0546		0.0534	0.0394	0.0369	0.0375	0.0347	0.0325	0.0304	0.03037	0.02686	0.0262	0.0255	0.0248	0.0237	0.02314	0.0226	0.0224	0.022	0.0223	0.0223
1	0.0571	0.0454		0.0547	0.0516	0.0483	0.0225		0.02		0.0132		0.0099		0.0088		0.009	0.0092	0.0092	0.0084		0.0081	0.0066	0.0064	0.006	0.0055	0.0055	0.0053	0.00507410043006095	0.00467558624658323	0.0048	0.0044	0.0043	0.0039	0.00375693548717319	0.0035	0.0037	0.0036	0.0034	0.0031
5	0.0174	0.0195		0.0109	0.0104	0.0098	0.0132		0.0114		0.0082		0.0067		0.0052		0.0053	0.005	0.0049	0.0049		0.0046	0.0035	0.0037	0.0035	0.0033	0.0031	0.0021	0.00276767111359891	0.00271528717001001	0.0027	0.0025	0.0024	0.0023	0.00217840298400107	0.0022	0.0022	0.0022	0.002	0.0018
10	0.0117	0.0135		0.0068	0.0064	0.0061	0.0088		0.0083		0.0061		0.0055		0.0043		0.0041	0.004	0.0042	0.0041		0.0035	0.0028	0.0028	0.0027	0.0026	0.0027	0.0022	0.00234917467049187	0.00219470785539774	0.0023	0.0022	0.0019	0.0019	0.0019051149762633	0.0019	0.0019	0.002	0.0019	0.0017
15	0.0132	0.0147		0.0103	0.0096	0.009	0.0093		0.0085		0.0075		0.0063		0.0055		0.0055	0.0057	0.0061	0.006		0.005	0.004	0.0038	0.0037	0.0034	0.0036	0.003	0.00289649711392194	0.00288429614873838	0.003	0.0028	0.0029	0.0027	0.00274447493861043	0.0036	0.0027	0.0027	0.003	0.0027
20	0.0157	0.0164		0.0154	0.0145	0.0137	0.0094		0.0092		0.0081		0.0064		0.0059		0.0075	0.011	0.0112	0.0095		0.0069	0.0058	0.005	0.0051	0.0044	0.0047	0.004	0.00392894461859979	0.00396437267184151	0.0038	0.0038	0.0037	0.0033	0.00337282085768972	0.0036	0.0034	0.0037	0.0037	0.0035
25	0.0196	0.0187		0.0167	0.0155	0.0146	0.0097		0.0094		0.0086		0.0076		0.0067		0.0085	0.0117	0.0116	0.0104		0.0083	0.0065	0.006	0.0061	0.0056	0.0057	0.005	0.00482564726616592	0.0048890049621311	0.0046	0.0045	0.0046	0.0041	0.0041939602819504	0.0041	0.0041	0.004	0.0041	0.0036
30	0.0193	0.0209		0.0218	0.0197	0.018	0.0123		0.0125		0.0106		0.009		0.0083		0.0097	0.0123	0.0114	0.0106		0.009	0.0071	0.007	0.007	0.0062	0.0067	0.0059	0.00570290099510879	0.00595231846478474	0.0053	0.0055	0.0055	0.0051	0.00510815741464686	0.005	0.0048	0.0047	0.0048	0.0045
35	0.0203	0.0231		0.0286	0.0274	0.0257	0.0158		0.0154		0.0165		0.0121		0.0105		0.013	0.0147	0.0138	0.0126		0.0114	0.0096	0.0093	0.0093	0.0081	0.0083	0.0075	0.00756973378709329	0.00764600274580209	0.0071	0.0072	0.0074	0.0067	0.00655943836118824	0.007	0.0065	0.0065	0.0063	0.0058
40	0.0243	0.026		0.0295	0.0287	0.0283	0.0193		0.0175		0.0155		0.0154		0.0142		0.0173	0.0199	0.0188	0.0174		0.0149	0.0128	0.0118	0.0123	0.0109	0.0115	0.0112	0.0107361471653367	0.0105357256880148	0.0099	0.01	0.0097	0.0091	0.00885991836218081	0.0092	0.0088	0.0089	0.0087	0.0082
