qx	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	0.12705	0.11242	0.107485142551641	0.10285	0.09765	0.08572	0.08273	0.0838063483077364	0.0783	0.0714397917429426	0.06442	0.0615376107660029	0.05873	0.0566821860871548	0.0554	0.0542880932230683	0.0555	0.0542	0.0549	0.0546	0.0534131206637003	0.0374	0.0394	0.0369	0.0375	0.0347	0.0325	0.0304	0.03037	0.02686	0.0262	0.0255	0.0248	0.0237	0.02314	0.0226	0.0224	0.022
1	0.05708	0.045393091326979	0.0505589823517899	0.0546619851752773	0.0515875214717127	0.0482893643085269	0.0224579458610878	0.023230356335897	0.019963111641532	0.0160334563938721	0.0131896791295239	0.0113500221830306	0.0098908920925983	0.00938737476229967	0.00878678805843743	0.00849773632137352	0.00899947061937533	0.00919856206386128	0.0092053750925828	0.00835625132219166	0.00865424080997501	0.0073	0.0066	0.0064	0.006	0.0055	0.0055	0.0053	0.00507410043006095	0.00467558624658323	0.0048	0.0044	0.0043	0.0039	0.00375693548717319	0.0035	0.0037	0.0036
5	0.0174	0.0194620495934096	0.0144380207677354	0.0109419768662084	0.01039962608086	0.00980313286520405	0.013215564254408	0.0136451708719629	0.0114358463411934	0.00951241614873932	0.00822104761492136	0.00679971853906947	0.00673848663032748	0.00565481781455357	0.00523336537434583	0.00513379409311354	0.00534188034188034	0.0050154732685946	0.00491190603310198	0.00490666666666667	0.00485282413507782	0.0041	0.0035	0.0037	0.0035	0.0033	0.0031	0.0021	0.00276767111359891	0.00271528717001001	0.0027	0.0025	0.0024	0.0023	0.00217840298400107	0.0022	0.0022	0.0022
10	0.01168	0.0135050553683197	0.00930798299708313	0.00683094309931691	0.00643523438422482	0.00612813370473538	0.00881535227503899	0.00906074108623711	0.00832054828269707	0.00745516884017383	0.00608311035876154	0.00587679244158368	0.00550946331345605	0.00475350531938379	0.00429461026411853	0.00412217118932501	0.00408163265306122	0.00396825396825397	0.00418544752092724	0.00407331975560081	0.0037737287634686	0.0032	0.0028	0.0028	0.0027	0.0026	0.0027	0.0022	0.00234917467049187	0.00219470785539774	0.0023	0.0022	0.0019	0.0019	0.0019051149762633	0.0019	0.0019	0.002
15	0.01316	0.0147392566924522	0.0117854516729727	0.0102508702436682	0.00955493493374532	0.00900364349775785	0.009315637043625	0.00923785632246299	0.00851457867515866	0.00805368665721529	0.007471870604782	0.00681306571581464	0.00626778769905929	0.00586905158309092	0.00549924520163899	0.00530953768784836	0.00550043140638481	0.00570690212124475	0.00614290333010023	0.00602733828436121	0.00540524437873469	0.0046	0.004	0.0038	0.0037	0.0034	0.0036	0.003	0.00289649711392194	0.00288429614873838	0.003	0.0028	0.0029	0.0027	0.00274447493861043	0.0036	0.0027	0.0027
20	0.01573	0.0164086687306502	0.0153465377525051	0.0154264092364413	0.0144946664906829	0.0136576283569602	0.00935719629395178	0.00947729792472063	0.00921412300683371	0.00837278709248013	0.0080816579576654	0.00719858155567454	0.00640570173041397	0.00629130366511244	0.00585492789764719	0.00574699187064309	0.00748291942305607	0.0110473302285281	0.0111689438299718	0.00952896589063346	0.00804533291911369	0.0063	0.0058	0.005	0.0051	0.0044	0.0047	0.004	0.00392894461859979	0.00396437267184151	0.0038	0.0038	0.0037	0.0033	0.00337282085768972	0.0036	0.0034	0.0037
25	0.01956	0.018722064841045	0.0164820795770722	0.0166720063089928	0.0155357773367587	0.0146472007837328	0.00974765312761409	0.00972944457436797	0.00941476704486671	0.00901058667912447	0.0085612233508204	0.00798554315652744	0.00760226197548793	0.0069441823761176	0.00665285200130876	0.00691567161046214	0.00852272727272727	0.0117170389837933	0.0116240815878934	0.0103859188805073	0.00927909646219194	0.0075	0.0065	0.006	0.0061	0.0056	0.0057	0.005	0.00482564726616592	0.0048890049621311	0.0046	0.0045	0.0046	0.0041	0.0041939602819504	0.0041	0.0041	0.004
30	0.01926	0.0208755677589879	0.0206105844642418	0.0218085706054039	0.0197014482357743	0.0180416121053397	0.0122722419720061	0.0121235156164834	0.0124750499001996	0.0111992000314788	0.0105828445335105	0.00988531250786773	0.00899073211830961	0.00855609088150044	0.00834522894476776	0.00851978583070057	0.00969803835133348	0.0122991689750693	0.0114279374237213	0.0106042195957141	0.0097307922711426	0.0082	0.0071	0.007	0.007	0.0062	0.0067	0.0059	0.00570290099510879	0.00595231846478474	0.0053	0.0055	0.0055	0.0051	0.00510815741464686	0.005	0.0048	0.0047
35	0.02029	0.0231290377534038	0.0266498099722406	0.028582404917403	0.0274147153815099	0.025719859732306	0.0157744069749486	0.0157163039423801	0.0153824459146621	0.0144851402117868	0.0164536941160406	0.0127398310269912	0.0121262291230857	0.010980607328443	0.0105193223341823	0.0109326584782873	0.0130202537280214	0.0146959838456361	0.0138047138047138	0.01261583119348	0.0122859335332823	0.0102	0.0096	0.0093	0.0093	0.0081	0.0083	0.0075	0.00756973378709329	0.00764600274580209	0.0071	0.0072	0.0074	0.0067	0.00655943836118824	0.007	0.0065	0.0065
40	0.02425	0.0260107852869369	0.0283974401245679	0.0294629439215376	0.0287322774383521	0.0283378746594005	0.0192616372391653	0.0177501956477658	0.0174965388838497	0.0170376789723077	0.015479482166202	0.0159740635793849	0.015377995198623	0.0148259883161302	0.014212175470009	0.0147934640812668	0.0172510993347615	0.0199248548332005	0.0187777398429498	0.0174129353233831	0.0165710857646379	0.0134	0.0128	0.0118	0.0123	0.0109	0.0115	0.0112	0.0107361471653367	0.0105357256880148	0.0099	0.01	0.0097	0.0091	0.00885991836218081	0.0092	0.0088	0.0089
45	0.03343	0.0325037530816588	0.033026803570068	0.0342963476087636	0.0326539879267055	0.0313946966831444	0.0226425310411873	0.0215964280290809	0.0212701343504774	0.0207661974457168	0.0196124513801572	0.0195239580524793	0.018803910293272	0.0181789317050804	0.0178226813486207	0.0181407622996476	0.020766406608536	0.0216078066914498	0.023312456506611	0.0231300345224396	0.0211893977343462	0.018	0.0183	0.0174	0.0174	0.0157	0.0163	0.0149	0.0146537946524988	0.0143800550679745	0.0138	0.014	0.0145	0.0136	0.0135576626334217	0.0135	0.013	0.0126
50	0.04606	0.044201175850926	0.0463123446080189	0.0500295366958283	0.0467341331750217	0.0440063558751448	0.03540536116742	0.0308689746703474	0.0332874111032505	0.0322343667756729	0.0319309600862999	0.0312868594580368	0.0270995721737092	0.0307532002004931	0.0275080906148867	0.032235591658888	0.0321068666510429	0.0338399430064118	0.0321814511340696	0.0309812698786665	0.0306349160991571	0.0262	0.0253	0.0241	0.0249	0.0231	0.0235	0.023	0.0232555590868741	0.0220102794661662	0.0215	0.0213	0.0213	0.0199	0.0195803441393818	0.0196	0.0189	0.0191
55	0.06661	0.0707157963718686	0.0681094780897328	0.0715861476732651	0.0683312574225878	0.0651040933036595	0.0532430068789077	0.0503891320973825	0.0534350164978367	0.0533720663668145	0.0536240497238937	0.0512978338164823	0.0464079611580304	0.0501380482405374	0.045632798573975	0.0533747601001789	0.0497578692493947	0.0484207939043874	0.0483435582822086	0.0460734257233163	0.0451518696450661	0.0384	0.0361	0.0358	0.0348	0.0305	0.032	0.0316	0.0325385694249649	0.0323246524290911	0.0323	0.0301	0.0332	0.031	0.0308208626760563	0.0301	0.0287	0.0273
60	0.10364	0.0938712055646376	0.0980238794523743	0.102781233055848	0.0971894043029474	0.0933827517627915	0.0811641758120554	0.0617555177355599	0.0722394780745182	0.0859863150248583	0.0848302479230719	0.0684738742067433	0.0591401245720206	0.0599951749002423	0.076578259245424	0.0860111404092671	0.0546566441584915	0.092095065874451	0.0796905222437137	0.0810500828342042	0.0764632979846572	0.0635	0.0602	0.0591	0.0585	0.0535	0.0555	0.0538	0.0535575529138881	0.0490977226866532	0.0488	0.0506	0.0511	0.047	0.0471167928791199	0.0473	0.0444	0.0455
65	0.16067	0.126165166174364	0.148992180994158	0.15072	0.147083132447138	0.141822049390102	0.137984845074649	0.119132190902151	0.128784666890835	0.130641371046819	0.120870323512173	0.122602079576309	0.123754532026319	0.118179145030335	0.124612272420769	0.130651916545057	0.106319902978035	0.11778093883357	0.113337069207061	0.108722784634586	0.10765870488666	0.0897	0.0907	0.0856	0.0859	0.0814	0.0811	0.0796	0.082394892594998	0.0749633186607977	0.0766	0.0741	0.0753	0.0711	0.0701426205483206	0.0723	0.0702	0.0671
70	0.25992	0.196137964537284	0.205198333418889	0.203407212071744	0.193402511406307	0.18487606506584	0.202400865708529	0.202974828088516	0.202577724740105	0.202263043205773	0.202365199969841	0.202753514678736	0.191727710178686	0.20303670175134	0.208410351201479	0.202262419032339	0.207177322074789	0.187842631409223	0.180941845764855	0.17753228566983	0.176139920172236	0.1534	0.1494	0.1421	0.1435	0.1344	0.1364	0.1303	0.132459970887918	0.121714622796094	0.1238	0.1268	0.1289	0.1193	0.115463468388816	0.117	0.1114	0.1127
75	0.38823	0.330034250025184	0.32852866450579	0.3231044085965	0.300545627471592	0.282754852350747	0.347229280547564	0.316909638787879	0.337661765357909	0.354823600859199	0.349182916337106	0.328350569625179	0.290066928312762	0.31376712283036	0.3897	0.354858269640731	0.298558243296802	0.263019104624143	0.261361609709052	0.26066346620388	0.259915347152683	0.2437	0.2467	0.2347	0.2377	0.2161	0.2208	0.2068	0.214303306446647	0.196865671641791	0.2	0.2007	0.2104	0.1992	0.196375541423418	0.1995	0.1871	0.186
