qx	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	0.1263	0.11018	0.105036453521157	0.0985	0.09378	0.08285	0.08027	0.0813198527317962	0.07657	0.0698873526638403	0.06198	0.0588302184096166	0.0554	0.0536167403719476	0.053	0.0526003729674768	0.0533	0.0515	0.0517	0.0522	0.0513665873053392	0.036	0.0386	0.0353	0.0359	0.0333	0.0303	0.0285	0.02818	0.02527	0.0244	0.0239	0.0229	0.0222	0.0216	0.0212	0.0212	0.0204
1	0.0569989698981344	0.0452930328790537	0.0508849179333311	0.05579589572934	0.0527245039835801	0.0481055443493431	0.02305	0.0239096677832755	0.0209003389536835	0.0170998435053999	0.013901622566683	0.0116948934869668	0.0103006563624815	0.00953493282074891	0.00918690601900739	0.00914211950971988	0.00940107742685117	0.00938323668950975	0.00970157123273226	0.00896813673770838	0.00895203274841005	0.0073	0.0064	0.0062	0.0063	0.0055	0.0052	0.0051	0.00490831635488053	0.00465770008104808	0.0046	0.0043	0.0043	0.0039	0.00371013900245298	0.0035	0.0037	0.0035
5	0.0173443379050856	0.0188219507027332	0.0145779040029298	0.0114891518737673	0.0104491868971623	0.00989656712827738	0.01306	0.0130505458373903	0.0112926238483404	0.00946155671422977	0.00860559147224805	0.00657512674107652	0.00699562506016879	0.00540788520532953	0.00500905893637429	0.00519451635263601	0.00533162721262529	0.00510855683269476	0.00479182195719306	0.0046843394016821	0.00467734134182773	0.0037	0.0031	0.0033	0.0034	0.003	0.003	0.0025	0.00266790755390104	0.00248404951607417	0.0024	0.0023	0.0022	0.0021	0.0020209895667696	0.002	0.002	0.0021
10	0.0111658699867838	0.0113850398896287	0.00851597013978822	0.00682995201216325	0.00647462535463289	0.00608521616400005	0.00752	0.00722889821898942	0.00741677107571147	0.0072841755786236	0.00672831563106584	0.00580558208539939	0.00499822261480293	0.00429004346924089	0.00396315338474722	0.00381456297075478	0.00364493996569468	0.00363714163457424	0.00363791996576075	0.00374371590544443	0.00342749239199358	0.0027	0.0023	0.0024	0.0024	0.0022	0.0022	0.0019	0.00207367777121113	0.00187025976978239	0.0019	0.0018	0.0017	0.0017	0.00159333881578947	0.0015	0.0017	0.0018
15	0.0130656906953795	0.0134577579302478	0.011260829329421	0.0102496023345652	0.00955010249179473	0.00890435673297406	0.00707	0.0068602252072939	0.00668327153467299	0.0068904098177921	0.00678487127408465	0.00604596372144961	0.00549974016975576	0.00507901640290187	0.00483923002473384	0.00474673832518047	0.00462664084355498	0.00429461026411853	0.00493986254295533	0.004723564143854	0.00437167700324625	0.0035	0.0031	0.0028	0.0028	0.0028	0.0029	0.0023	0.00217149625442871	0.0020497530979223	0.0023	0.0022	0.0022	0.0022	0.00203861003861004	0.0025	0.0021	0.0022
20	0.0161749629798382	0.0153757211213206	0.0145766749719982	0.0143917057373484	0.0135540907513967	0.0126250763376709	0.00975	0.00853388752317796	0.00915630389398203	0.0085836106874202	0.00787027313827141	0.00721978303105386	0.00599825821902896	0.00573231078695779	0.00529500756429652	0.0052411163499908	0.00562101394443844	0.00560707353892603	0.00669112885819124	0.00625606730665516	0.00570171403889286	0.0043	0.0041	0.0037	0.0035	0.0035	0.0036	0.003	0.00294675024469481	0.00285272668803618	0.0027	0.0027	0.0026	0.0024	0.00221816418541789	0.0025	0.0023	0.0025
25	0.0212522352154169	0.0179894312091646	0.0161313794909025	0.0164163550542512	0.0154260350724005	0.0144993041761326	0.00995	0.0099451195664948	0.00959589597957151	0.00833382223402146	0.00871260654002563	0.00776439793946337	0.00750199870768489	0.00729009413877968	0.00630092341118957	0.00632240448050114	0.006631155560387	0.00661461721969204	0.00738728951656708	0.00683890577507599	0.00646760325805218	0.0053	0.0049	0.0046	0.0044	0.0042	0.0045	0.004	0.00366560492924651	0.0036411302068162	0.0033	0.0034	0.0035	0.0032	0.00300893374141782	0.003	0.0031	0.003
30	0.0187168938368318	0.0215629651303319	0.0202747210250392	0.0195572507665844	0.0178848569950484	0.0164626934125087	0.01203	0.0120312214928321	0.012128429547583	0.0104551969797233	0.00990188034572286	0.00988365085720155	0.00950079449152542	0.00940097434521625	0.00885633063634376	0.00839541640226815	0.00842635149923397	0.00840519593930794	0.00831873905429072	0.00863482347797574	0.00817634919334365	0.0068	0.0063	0.0059	0.0057	0.0052	0.0057	0.0051	0.00493689992033877	0.00497003362081567	0.0045	0.0047	0.0047	0.0046	0.0042832992812769	0.0042	0.0042	0.0039
35	0.0181362765715204	0.02513261909715	0.0263644911160054	0.0243970657411292	0.0234655228635212	0.0219536139403608	0.01538	0.0162031213844797	0.0152267034947684	0.0139651812082543	0.0149843345593243	0.0131581446818486	0.0129004946303641	0.0124786517877329	0.0112520683949255	0.0110695838419339	0.0123606665930913	0.011889035667107	0.0121412803532009	0.0120176405733186	0.0114771191032246	0.0096	0.009	0.0089	0.0085	0.0078	0.008	0.0072	0.00712081151970337	0.00665281537912653	0.0064	0.0068	0.0066	0.0066	0.00613490542454795	0.0065	0.0064	0.0059
40	0.0210905419969169	0.0269408767788314	0.0261234262387258	0.0240689097969715	0.0234257606308516	0.022835347109823	0.01867	0.017801839879491	0.017149784290655	0.0167541126460501	0.0159152722076246	0.0163521751636784	0.0163984380290274	0.0160023497451223	0.014838781657927	0.0152393188992628	0.0167616493462957	0.0170454545454545	0.0178750977544408	0.0171855819662984	0.0161493400428769	0.0122	0.0123	0.0117	0.0113	0.011	0.011	0.0112	0.0105138079930403	0.0100460576354263	0.0094	0.0096	0.0092	0.0086	0.00844695500896048	0.0091	0.0085	0.0085
