Age year	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
15	0.0439636354541647	0.0519569412681805	0.0789940381402798	0.0351246821089589	0.0475427882461565	0.0468302154613408	0.0344021652259193	0.0340495836025315	0.0336225217503887	0.0331075376524041	0.0324898714531219	0.0317538725667345	0.0381014916713523	0.0439787477315952	0.0322332442008394	0.017392908602576	0.0220414382529932	0.018349872652946	0.0144057422735066	0.0142546454729802	0.0147076957751126	0.0129770341822175	0.00568702395591187	0.00842148629600126	0.00919885589241532	0.00842172950635647	0.00601163928060574	0.00743712742106858	0.00603863244118308	0.00526001664075015	0.00697249840611674	0.00608235498957869	0.00552671816716337	0.00337436161728953	0.00137173357851741	0.00290196263408519	0.00257461224549906	0.00260038923543278	0.00249309107395341	0.00240706281464498	0.00233799737264082	0.00228248181059905	0.00223780815642767	0.00220182380680899	0.00214300037197708	0.00220345128389646	0.00225009332830618	0.00233846536947569	0.00254000217824444	0.00273128754221694	0.00293351397891941	0.00193925024889449	0.00202730452248052
16	0.0716866676221194	0.0832980775025959	0.10795043012515	0.0590510391356486	0.0707143823192461	0.0702136485819134	0.057970337039026	0.0574420494634466	0.0568013483808137	0.0560275346141045	0.055097659927076	0.0539870634615078	0.0630551924856244	0.0678999591781708	0.0547626098915858	0.0340785456273083	0.0414639937652946	0.0350532174387514	0.028755744188913	0.0277017949986763	0.027683690883078	0.025114222041527	0.0125305699689852	0.0174941244350804	0.0184471141080193	0.0165267965604066	0.0125115776159554	0.0147547240583082	0.0123504416652012	0.0109245918924081	0.0137277215697422	0.0119989933394343	0.0108737834089411	0.00736330937163101	0.00323810426990028	0.00643969251244601	0.00557192958388384	0.00584139783024044	0.00562670148756449	0.00545382213569586	0.00531453309869913	0.00520223907948064	0.00511165479513969	0.00503854336958647	0.00474495099101548	0.00488919097545338	0.00512031586820766	0.00535562804211027	0.00587219242382267	0.00623533534419032	0.00674922699602532	0.00464437095224175	0.0048961351853595
17	0.10745607840054	0.121942186327793	0.140635038348811	0.091014304514804	0.0989937259444644	0.0990947301302321	0.0895299761355124	0.0888032783428006	0.0879209620161438	0.0868538761057728	0.0855694388737545	0.0840322454152647	0.0956734244212418	0.0977808946103224	0.0849492239289669	0.0596540261629832	0.0698195013943532	0.0600060836739821	0.0511042970795152	0.0483979709184064	0.0472158520462778	0.0438834783051624	0.024430090614043	0.0323081536580225	0.0330790331839617	0.0291797813070675	0.0232575050843057	0.0263281906042506	0.0226025437744706	0.0202641421915466	0.0243486821970842	0.0213316042599046	0.0192840991891533	0.0142627393475389	0.00676659504872374	0.0126585636866843	0.0107719366369859	0.0116060544681279	0.0112255299186588	0.0109179633067673	0.0106693784574244	0.0104684502727005	0.0103060205929467	0.0101746917109136	0.00935796523247154	0.00965958628493248	0.0102903630881809	0.0107980116630745	0.0119061212683042	0.012492199262333	0.0135841200149157	0.00973328734022124	0.0103167089977246
18	0.149439296486717	0.164869731596058	0.175481351013511	0.129866703153914	0.131223555474953	0.132426130662488	0.127974866104708	0.127047432784809	0.125920296082899	0.124555493383361	0.122910302650714	0.120937867057775	0.134460534748578	0.132382857113549	0.12160731263567	0.0944880505049654	0.106628409044906	0.0932088684244424	0.0819379757549304	0.0769133037053006	0.0737508072539898	0.0699913328019346	0.0426956088705072	0.0537430817147124	0.0537148619357954	0.0468978396347255	0.0390897621245716	0.0427436155723694	0.0374636236861131	0.0339845730605048	0.0393468206354516	0.0345564683904467	0.0311709982359627	0.024840541380239	0.0126702126351954	0.0223313905631169	0.0188172879506073	0.0206666774621967	0.0200608823719837	0.0195696229499025	0.0191714846367564	0.0188489452803294	0.0185877189760245	0.0183761866243739	0.0166395787096267	0.0172010851119136	0.018511444780206	0.019435485506423	0.0214815767752869	0.0222855523608022	0.0242795762979424	0.0181107175061251	0.0192513059328853
19	0.194490826882926	0.208069289928362	0.210642228006637	0.173127265465453	0.165650863441505	0.168501650011421	0.170867363306763	0.169758219597527	0.16840910351655	0.166773822113299	0.164800089420416	0.162430111892994	0.176718089034515	0.169749147003823	0.162260392321451	0.137050094305145	0.149523113214612	0.132922309219294	0.120005290907441	0.112409069603611	0.106562035463554	0.102940303871273	0.0677097404170254	0.0815168347046053	0.0799269282975646	0.0693671637421828	0.0600898769984482	0.0638217921491575	0.05688037751025	0.0521270335032956	0.0585450337201368	0.0515454413027628	0.0464052223770035	0.0393716570863235	0.0215034154873323	0.0357912406970672	0.0300250090452271	0.0333927141770795	0.0325149352053109	0.0318010794597259	0.0312211642868136	0.0307504405054517	0.0303685813618186	0.0300589532385322	0.0269811375398763	0.0279248389678004	0.0301855392201723	0.0316409591024328	0.0349633369915811	0.0358869265669933	0.0390836399808992	0.0303298263391253	0.0322618290158769
20	0.238813555897711	0.24753640237237	0.244244782179898	0.217480551228009	0.200204164013482	0.20521444872469	0.214926562723067	0.213671838353908	0.212144527617145	0.210291596583792	0.208052721952305	0.205360791057721	0.219132896965482	0.207565830210918	0.20367755950845	0.184073964125586	0.194743992159536	0.175939553258837	0.162418852544229	0.152644271721972	0.143763205735562	0.140952190149886	0.0985610536683234	0.114040723998224	0.110189623123553	0.0953936629244587	0.0853965029291896	0.088530378569998	0.0799491530047205	0.0739162823032526	0.0810036469994715	0.0714892391485198	0.0642517083203479	0.0574332954874496	0.0334361055465543	0.0527152853709647	0.0442045590178274	0.0495281901213864	0.0483561181425281	0.0474005738522727	0.046622724707908	0.0459902635912038	0.0454764825829472	0.0450594077688918	0.0403232826007413	0.0417732867393336	0.0451455852446998	0.047164049666887	0.0519922407547492	0.0528329279260482	0.0574112589689282	0.0463007317247929	0.0491933912029735
21	0.278763077287188	0.280149546436386	0.274623986016319	0.259480577385348	0.232817647676372	0.24038299312401	0.256725853808828	0.255371356944158	0.253721561753324	0.251718492558593	0.249295932951217	0.246379811462757	0.258488030591344	0.243568027153254	0.24259099046045	0.231323404477398	0.238096900991785	0.21835466531928	0.205337406291438	0.194435618616367	0.182669603363304	0.181284983498313	0.133104503528374	0.148724981778805	0.142194007495609	0.123130357369049	0.113321942045305	0.115162273863526	0.105060231296813	0.097870714508817	0.105181623209607	0.0930296729670421	0.0834921826663092	0.0779203029158219	0.0481152673840115	0.0721133921073957	0.0606192863203913	0.0681624935169527	0.066703427900243	0.0655113846082597	0.064539304730771	0.0637477633353149	0.0631039800812051	0.0625808565970932	0.0560950704305624	0.058155297229587	0.0626085249078784	0.0651035141773976	0.0714783046712597	0.0719548487792961	0.0779009642550921	0.0651967246037602	0.0690865353248848
22	0.311519072100897	0.304150156669543	0.300491694335163	0.296206988467945	0.261718324123423	0.272058957767255	0.293348135493134	0.291941412429332	0.290227084062148	0.288144293721934	0.285623293342877	0.282585704459373	0.292249381432913	0.275876080157731	0.276329778613626	0.274614161482481	0.275945574368188	0.256487030131995	0.24491263248912	0.234372889449495	0.220360099011438	0.220813213036872	0.168434434251698	0.182596458788918	0.173384875439232	0.15048307973784	0.141719730306309	0.141704170832061	0.130252539433309	0.122127052329602	0.12926515101506	0.114546045830635	0.10268255515054	0.0992773999860785	0.0646819012072706	0.0925309734855981	0.0781130465698221	0.0879126277850031	0.0862009568402102	0.0848000005778616	0.0836558351157178	0.0827230064607631	0.0819635304657351	0.0813458767755775	0.0733055820840745	0.0760406821196538	0.0813266694412643	0.0840958363947308	0.0918447105353916	0.0916511840087784	0.0987459958581673	0.0856112509500375	0.0903710855783631
23	0.33545143581126	0.319177845338583	0.321021718513082	0.32568868067829	0.285618297214212	0.298751447316593	0.322812703560525	0.321396676413237	0.319670220758757	0.317571523254403	0.315029533301636	0.311964104326813	0.318881430348576	0.303193442446988	0.303194052093799	0.310686755955383	0.305880434989459	0.287610665612449	0.278114000790297	0.269512195089796	0.254234018250327	0.25665060389341	0.201561580913197	0.212964980717177	0.201501803839173	0.175535659364603	0.168449146610922	0.166249498746183	0.153632668295203	0.144843732622563	0.1515352497842	0.134483919178853	0.120444895931358	0.119846569084433	0.0819385725845024	0.112376119367137	0.0953502009300431	0.107235420254225	0.105324346121554	0.103757771545876	0.102476704988386	0.101431154398309	0.100579160346801	0.0998857678485158	0.090748216650198	0.0941729448886155	0.0998685436259425	0.102632812938329	0.111407759633533	0.110275393757289	0.1181424370693	0.105891480312798	0.111249035241611
24	0.350153617205016	0.325983108127046	0.335854353508036	0.34703415386319	0.303791742134345	0.3195373698068	0.344210793837296	0.342819944300781	0.341123530541934	0.339060376951416	0.336559995040458	0.333542619937664	0.33787621719912	0.324855059309265	0.322529750748828	0.337674040107804	0.326926089065541	0.310295912087348	0.303180540345174	0.297834787913865	0.282400423158471	0.28661934430478	0.230028643126288	0.237905340850425	0.224949566380701	0.196860134970131	0.191770532116331	0.187320407202647	0.173713086124594	0.164539362971737	0.170655249850079	0.151618640099064	0.135699091759931	0.138195981247075	0.0985989403840013	0.130242292046424	0.111078069417106	0.124744899191291	0.122695960318556	0.121014183493323	0.119637419900175	0.11851275817674	0.117595621315016	0.116848759651578	0.107237792253866	0.11131686232406	0.1169151875852	0.119378119543565	0.128735505021666	0.126481149802433	0.134670561596269	0.124504514140649	0.13009948681223
